date,time,solar generation
2013-01-01,0,0
2013-01-01,1,0
2013-01-01,2,0
2013-01-01,3,0
2013-01-01,4,0
2013-01-01,5,0
2013-01-01,6,0
2013-01-01,7,0
2013-01-01,8,0.005183
2013-01-01,9,0.104496
2013-01-01,10,0.171509
2013-01-01,11,0.13282
2013-01-01,12,0.577321
2013-01-01,13,0.765583
2013-01-01,14,0.7889649999999999
2013-01-01,15,0.417383
2013-01-01,16,0.1145
2013-01-01,17,0.000964
2013-01-01,18,0
2013-01-01,19,0
2013-01-01,20,0
2013-01-01,21,0
2013-01-01,22,0
2013-01-01,23,0
2013-01-02,0,0
2013-01-02,1,0
2013-01-02,2,0
2013-01-02,3,0
2013-01-02,4,0
2013-01-02,5,0
2013-01-02,6,0
2013-01-02,7,0
2013-01-02,8,0.027118
2013-01-02,9,0.145596
2013-01-02,10,0.310355
2013-01-02,11,0.5122369999999999
2013-01-02,12,0.799089
2013-01-02,13,1.013867
2013-01-02,14,0.952881
2013-01-02,15,0.597811
2013-01-02,16,0.169822
2013-01-02,17,0.00229
2013-01-02,18,0
2013-01-02,19,0
2013-01-02,20,0
2013-01-02,21,0
2013-01-02,22,0
2013-01-02,23,0
2013-01-03,0,0
2013-01-03,1,0
2013-01-03,2,0
2013-01-03,3,0
2013-01-03,4,0
2013-01-03,5,0
2013-01-03,6,0
2013-01-03,7,0
2013-01-03,8,0.130168
2013-01-03,9,0.4571560000000001
2013-01-03,10,0.754013
2013-01-03,11,0.9481809999999999
2013-01-03,12,1.070394
2013-01-03,13,1.084255
2013-01-03,14,0.972888
2013-01-03,15,0.614323
2013-01-03,16,0.178138
2013-01-03,17,0.002049
2013-01-03,18,0
2013-01-03,19,0
2013-01-03,20,0
2013-01-03,21,0
2013-01-03,22,0
2013-01-03,23,0
2013-01-04,0,0
2013-01-04,1,0
2013-01-04,2,0
2013-01-04,3,0
2013-01-04,4,0
2013-01-04,5,0
2013-01-04,6,0
2013-01-04,7,0
2013-01-04,8,0.134748
2013-01-04,9,0.470053
2013-01-04,10,0.750397
2013-01-04,11,0.9301020000000001
2013-01-04,12,1.014108
2013-01-04,13,1.018206
2013-01-04,14,0.966742
2013-01-04,15,0.634089
2013-01-04,16,0.183803
2013-01-04,17,0.001808
2013-01-04,18,0
2013-01-04,19,0
2013-01-04,20,0
2013-01-04,21,0
2013-01-04,22,0
2013-01-04,23,0
2013-01-05,0,0
2013-01-05,1,0
2013-01-05,2,0
2013-01-05,3,0
2013-01-05,4,0
2013-01-05,5,0
2013-01-05,6,0
2013-01-05,7,0
2013-01-05,8,0.05749099999999999
2013-01-05,9,0.294687
2013-01-05,10,0.419793
2013-01-05,11,0.7661859999999999
2013-01-05,12,0.8931
2013-01-05,13,0.8389840000000001
2013-01-05,14,0.7056819999999999
2013-01-05,15,0.370498
2013-01-05,16,0.065325
2013-01-05,17,0.000121
2013-01-05,18,0
2013-01-05,19,0
2013-01-05,20,0
2013-01-05,21,0
2013-01-05,22,0
2013-01-05,23,0
2013-01-06,0,0
2013-01-06,1,0
2013-01-06,2,0
2013-01-06,3,0
2013-01-06,4,0
2013-01-06,5,0
2013-01-06,6,0
2013-01-06,7,0
2013-01-06,8,0.029891
2013-01-06,9,0.122696
2013-01-06,10,0.360374
2013-01-06,11,0.6120329999999999
2013-01-06,12,0.726171
2013-01-06,13,0.8874350000000001
2013-01-06,14,0.9061170000000001
2013-01-06,15,0.60456
2013-01-06,16,0.167773
2013-01-06,17,0.003495
2013-01-06,18,0
2013-01-06,19,0
2013-01-06,20,0
2013-01-06,21,0
2013-01-06,22,0
2013-01-06,23,0
2013-01-07,0,0
2013-01-07,1,0
2013-01-07,2,0
2013-01-07,3,0
2013-01-07,4,0
2013-01-07,5,0
2013-01-07,6,0
2013-01-07,7,0
2013-01-07,8,0.024226
2013-01-07,9,0.201882
2013-01-07,10,0.598895
2013-01-07,11,0.712913
2013-01-07,12,0.8591120000000001
2013-01-07,13,0.8471790000000001
2013-01-07,14,0.370739
2013-01-07,15,0.377006
2013-01-07,16,0.092323
2013-01-07,17,0.000603
2013-01-07,18,0
2013-01-07,19,0
2013-01-07,20,0
2013-01-07,21,0
2013-01-07,22,0
2013-01-07,23,0
2013-01-08,0,0
2013-01-08,1,0
2013-01-08,2,0
2013-01-08,3,0
2013-01-08,4,0
2013-01-08,5,0
2013-01-08,6,0
2013-01-08,7,0
2013-01-08,8,0.05845499999999999
2013-01-08,9,0.248284
2013-01-08,10,0.586963
2013-01-08,11,0.814396
2013-01-08,12,0.906719
2013-01-08,13,0.944083
2013-01-08,14,0.8286180000000001
2013-01-08,15,0.5387529999999999
2013-01-08,16,0.145837
2013-01-08,17,0.005183
2013-01-08,18,0
2013-01-08,19,0
2013-01-08,20,0
2013-01-08,21,0
2013-01-08,22,0
2013-01-08,23,0
2013-01-09,0,0
2013-01-09,1,0
2013-01-09,2,0
2013-01-09,3,0
2013-01-09,4,0
2013-01-09,5,0
2013-01-09,6,0
2013-01-09,7,0
2013-01-09,8,0.114741
2013-01-09,9,0.441729
2013-01-09,10,0.738585
2013-01-09,11,0.952158
2013-01-09,12,1.064729
2013-01-09,13,1.077264
2013-01-09,14,0.970719
2013-01-09,15,0.669162
2013-01-09,16,0.212006
2013-01-09,17,0.003616
2013-01-09,18,0
2013-01-09,19,0
2013-01-09,20,0
2013-01-09,21,0
2013-01-09,22,0
2013-01-09,23,0
2013-01-10,0,0
2013-01-10,1,0
2013-01-10,2,0
2013-01-10,3,0
2013-01-10,4,0
2013-01-10,5,0
2013-01-10,6,0
2013-01-10,7,0
2013-01-10,8,0.119683
2013-01-10,9,0.434497
2013-01-10,10,0.710021
2013-01-10,11,0.905273
2013-01-10,12,1.013506
2013-01-10,13,0.983856
2013-01-10,14,0.8728520000000001
2013-01-10,15,0.606247
2013-01-10,16,0.165362
2013-01-10,17,0.006267
2013-01-10,18,0
2013-01-10,19,0
2013-01-10,20,0
2013-01-10,21,0
2013-01-10,22,0
2013-01-10,23,0
2013-01-11,0,0
2013-01-11,1,0
2013-01-11,2,0
2013-01-11,3,0
2013-01-11,4,0
2013-01-11,5,0
2013-01-11,6,0
2013-01-11,7,0
2013-01-11,8,0.020851
2013-01-11,9,0.182477
2013-01-11,10,0.574549
2013-01-11,11,0.743286
2013-01-11,12,0.772694
2013-01-11,13,0.618541
2013-01-11,14,0.573103
2013-01-11,15,0.335304
2013-01-11,16,0.076052
2013-01-11,17,0.000482
2013-01-11,18,0
2013-01-11,19,0
2013-01-11,20,0
2013-01-11,21,0
2013-01-11,22,0
2013-01-11,23,0
2013-01-12,0,0
2013-01-12,1,0
2013-01-12,2,0
2013-01-12,3,0
2013-01-12,4,0
2013-01-12,5,0
2013-01-12,6,0
2013-01-12,7,0
2013-01-12,8,0.013137
2013-01-12,9,0.113054
2013-01-12,10,0.214416
2013-01-12,11,0.488855
2013-01-12,12,0.5117550000000001
2013-01-12,13,0.467522
2013-01-12,14,0.422204
2013-01-12,15,0.321082
2013-01-12,16,0.123178
2013-01-12,17,0.004700999999999999
2013-01-12,18,0
2013-01-12,19,0
2013-01-12,20,0
2013-01-12,21,0
2013-01-12,22,0
2013-01-12,23,0
2013-01-13,0,0
2013-01-13,1,0
2013-01-13,2,0
2013-01-13,3,0
2013-01-13,4,0
2013-01-13,5,0
2013-01-13,6,0
2013-01-13,7,0
2013-01-13,8,0.022418
2013-01-13,9,0.138364
2013-01-13,10,0.286612
2013-01-13,11,0.370618
2013-01-13,12,0.469209
2013-01-13,13,0.401473
2013-01-13,14,0.355553
2013-01-13,15,0.206823
2013-01-13,16,0.08304299999999999
2013-01-13,17,0.002772
2013-01-13,18,0
2013-01-13,19,0
2013-01-13,20,0
2013-01-13,21,0
2013-01-13,22,0
2013-01-13,23,0
2013-01-14,0,0
2013-01-14,1,0
2013-01-14,2,0
2013-01-14,3,0
2013-01-14,4,0
2013-01-14,5,0
2013-01-14,6,0
2013-01-14,7,0
2013-01-14,8,0.036881
2013-01-14,9,0.175727
2013-01-14,10,0.083284
2013-01-14,11,0.252744
2013-01-14,12,0.409789
2013-01-14,13,0.714842
2013-01-14,14,0.727015
2013-01-14,15,0.516576
2013-01-14,16,0.146198
2013-01-14,17,0.007111
2013-01-14,18,0
2013-01-14,19,0
2013-01-14,20,0
2013-01-14,21,0
2013-01-14,22,0
2013-01-14,23,0
2013-01-15,0,0
2013-01-15,1,0
2013-01-15,2,0
2013-01-15,3,0
2013-01-15,4,0
2013-01-15,5,0
2013-01-15,6,0
2013-01-15,7,0
2013-01-15,8,0.062553
2013-01-15,9,0.257926
2013-01-15,10,0.3893
2013-01-15,11,0.638187
2013-01-15,12,0.59311
2013-01-15,13,0.381707
2013-01-15,14,0.341813
2013-01-15,15,0.189467
2013-01-15,16,0.06448200000000001
2013-01-15,17,0.0008439999999999999
2013-01-15,18,0
2013-01-15,19,0
2013-01-15,20,0
2013-01-15,21,0
2013-01-15,22,0
2013-01-15,23,0
2013-01-16,0,0
2013-01-16,1,0
2013-01-16,2,0
2013-01-16,3,0
2013-01-16,4,0
2013-01-16,5,0
2013-01-16,6,0
2013-01-16,7,0
2013-01-16,8,0.000603
2013-01-16,9,0.014463
2013-01-16,10,0.03157799999999999
2013-01-16,11,0.357602
2013-01-16,12,0.554059
2013-01-16,13,0.559483
2013-01-16,14,0.550805
2013-01-16,15,0.314333
2013-01-16,16,0.123539
2013-01-16,17,0.005785
2013-01-16,18,0
2013-01-16,19,0
2013-01-16,20,0
2013-01-16,21,0
2013-01-16,22,0
2013-01-16,23,0
2013-01-17,0,0
2013-01-17,1,0
2013-01-17,2,0
2013-01-17,3,0
2013-01-17,4,0
2013-01-17,5,0
2013-01-17,6,0
2013-01-17,7,0
2013-01-17,8,0.04122
2013-01-17,9,0.222251
2013-01-17,10,0.457759
2013-01-17,11,0.651204
2013-01-17,12,0.741116
2013-01-17,13,0.756785
2013-01-17,14,0.670247
2013-01-17,15,0.482949
2013-01-17,16,0.168014
2013-01-17,17,0.009642
2013-01-17,18,0
2013-01-17,19,0
2013-01-17,20,0
2013-01-17,21,0
2013-01-17,22,0
2013-01-17,23,0
2013-01-18,0,0
2013-01-18,1,0
2013-01-18,2,0
2013-01-18,3,0
2013-01-18,4,0
2013-01-18,5,0
2013-01-18,6,0
2013-01-18,7,0
2013-01-18,8,0.109076
2013-01-18,9,0.427868
